Name,Title,Create Date,Tags,Original Name,Location
how-to-translate-nested-polymorphic-attributes-in-activemodel-errors-messages,2015 06 how to translate nested polymorphic attributes in activemodel errors messages org markdown,2015-06-01,"",2015/06/how-to-translate-nested-polymorphic-attributes-in-activemodel-errors-messages.org.markdown,../SWAAC Posts/how-to-translate-nested-polymorphic-attributes-in-activemodel-errors-messages.md
todays-reading,2015 06 todays reading org markdown,2015-06-01,"",2015/06/todays-reading.org.markdown,../SWAAC Posts/todays-reading.md
user-editing-for-jekyll-sites,2015 06 user editing for jekyll sites org markdown,2015-06-01,"",2015/06/user-editing-for-jekyll-sites.org.markdown,../SWAAC Posts/user-editing-for-jekyll-sites.md
tweet-by-at-c089-hidden-costs-of-poor-programming,2015 12 tweet by at c089 hidden costs of poor programming org markdown,2015-12-01,"",2015/12/tweet-by-at-c089-hidden-costs-of-poor-programming.org.markdown,../SWAAC Posts/tweet-by-at-c089-hidden-costs-of-poor-programming.md
link-4-reasons-why-you-shouldnt-learn-to-code-from-codecademy,2015 12 link 4 reasons why you shouldnt learn to code from codecademy org markdown,2015-12-01,"",2015/12/link-4-reasons-why-you-shouldnt-learn-to-code-from-codecademy.org.markdown,../SWAAC Posts/link-4-reasons-why-you-shouldnt-learn-to-code-from-codecademy.md
self-referential-models-categories,2015 12 self referential models categories org markdown,2015-12-01,"",2015/12/self-referential-models-categories.org.markdown,../SWAAC Posts/self-referential-models-categories.md
code-as-literature-software-dev-as-communication,2012 12 code as literature software dev as communication org markdown,2012-12-01,"",2012/12/code-as-literature-software-dev-as-communication.org.markdown,../SWAAC Posts/code-as-literature-software-dev-as-communication.md
more-html5-semantics,2017 03 more html5 semantics org markdown,2017-03-01,"",2017/03/more-html5-semantics.org.markdown,../SWAAC Posts/more-html5-semantics.md
specifying-target-equals-blank-on-an-anchor-in-a-markdown-document,2017 04 specifying target equals blank on an anchor in a markdown document org markdown,2017-04-01,"",2017/04/specifying-target-equals-blank-on-an-anchor-in-a-markdown-document.org.markdown,../SWAAC Posts/specifying-target-equals-blank-on-an-anchor-in-a-markdown-document.md
link-decorating-activerecord,2017 04 link decorating activerecord org markdown,2017-04-01,"",2017/04/link-decorating-activerecord.org.markdown,../SWAAC Posts/link-decorating-activerecord.md
resetting-emacs-colours-after-working-with-guard,2017 04 resetting emacs colours after working with guard org markdown,2017-04-01,"",2017/04/resetting-emacs-colours-after-working-with-guard.org.markdown,../SWAAC Posts/resetting-emacs-colours-after-working-with-guard.md
list-of-awesome-accessibility-links,2017 05 list of awesome accessibility links org markdown,2017-05-01,"",2017/05/list-of-awesome-accessibility-links.org.markdown,../SWAAC Posts/list-of-awesome-accessibility-links.md
sarah-mei-five-factor-testing,2017 05 sarah mei five factor testing org markdown,2017-05-01,"",2017/05/sarah-mei-five-factor-testing.org.markdown,../SWAAC Posts/sarah-mei-five-factor-testing.md
playing-with-grid-and-flexbox,2017 05 playing with grid and flexbox org markdown,2017-05-01,"",2017/05/playing-with-grid-and-flexbox.org.markdown,../SWAAC Posts/playing-with-grid-and-flexbox.md
fixing-the-rollunder,2017 05 fixing the rollunder org markdown,2017-05-01,"",2017/05/fixing-the-rollunder.org.markdown,../SWAAC Posts/fixing-the-rollunder.md
postgresql-timestamp-accuracy,2017 05 postgresql timestamp accuracy org markdown,2017-05-01,"",2017/05/postgresql-timestamp-accuracy.org.markdown,../SWAAC Posts/postgresql-timestamp-accuracy.md
scrollstick-a-javascript-module-make-scrolling-headers-sticky,2017 05 scrollstick a javascript module make scrolling headers sticky org markdown,2017-05-01,"",2017/05/scrollstick-a-javascript-module-make-scrolling-headers-sticky.org.markdown,../SWAAC Posts/scrollstick-a-javascript-module-make-scrolling-headers-sticky.md
notes-on-using-actionmailer-in-rails,2017 05 notes on using actionmailer in rails org markdown,2017-05-01,"",2017/05/notes-on-using-actionmailer-in-rails.org.markdown,../SWAAC Posts/notes-on-using-actionmailer-in-rails.md
minimum-needed-for-full-height-with-standard-header-slash-main-slash-footer,2017 05 minimum needed for full height with standard header slash main slash footer org markdown,2017-05-01,"",2017/05/minimum-needed-for-full-height-with-standard-header-slash-main-slash-footer.org.markdown,../SWAAC Posts/minimum-needed-for-full-height-with-standard-header-slash-main-slash-footer.md
changing-screencapture-location-on-macos,2017 05 changing screencapture location on macos org markdown,2017-05-01,"",2017/05/changing-screencapture-location-on-macos.org.markdown,../SWAAC Posts/changing-screencapture-location-on-macos.md
gitlab-database-outage-post-mortem,2017 02 gitlab database outage post mortem org markdown,2017-02-01,"",2017/02/gitlab-database-outage-post-mortem.org.markdown,../SWAAC Posts/gitlab-database-outage-post-mortem.md
baratunde-thurston-explains-web-encryption,2017 02 baratunde thurston explains web encryption org markdown,2017-02-01,"",2017/02/baratunde-thurston-explains-web-encryption.org.markdown,../SWAAC Posts/baratunde-thurston-explains-web-encryption.md
how-i-set-up-my-local-wordpress-development-environment-using-vagrant-and-ansible,2017 02 how i set up my local wordpress development environment using vagrant and ansible org markdown,2017-02-01,"",2017/02/how-i-set-up-my-local-wordpress-development-environment-using-vagrant-and-ansible.org.markdown,../SWAAC Posts/how-i-set-up-my-local-wordpress-development-environment-using-vagrant-and-ansible.md
links-flexbox-tutorials-and-posts,2017 02 links flexbox tutorials and posts org markdown,2017-02-01,"",2017/02/links-flexbox-tutorials-and-posts.org.markdown,../SWAAC Posts/links-flexbox-tutorials-and-posts.md
til-capybara-dot-has-current-path,2017 11 til capybara dot has current path org markdown,2017-11-01,"",2017/11/til-capybara-dot-has-current-path.org.markdown,../SWAAC Posts/til-capybara-dot-has-current-path.md
til-capybara-fill-in-wants-the-id-not-the-css-selector-id,2017 11 til capybara fill in wants the id not the css selector id org markdown,2017-11-01,"",2017/11/til-capybara-fill-in-wants-the-id-not-the-css-selector-id.org.markdown,../SWAAC Posts/til-capybara-fill-in-wants-the-id-not-the-css-selector-id.md
making-capybara-wait-a-little-longer-for-just-one-test,2017 11 making capybara wait a little longer for just one test org markdown,2017-11-01,"",2017/11/making-capybara-wait-a-little-longer-for-just-one-test.org.markdown,../SWAAC Posts/making-capybara-wait-a-little-longer-for-just-one-test.md
whats-falsy-in-javascript,2017 11 whats falsy in javascript org markdown,2017-11-01,"",2017/11/whats-falsy-in-javascript.org.markdown,../SWAAC Posts/whats-falsy-in-javascript.md
talk-learning-react-plus-graphql-plus-apollo-with-rails-graphql-api-all-at-once,2017 10 talk learning react plus graphql plus apollo with rails graphql api all at once org markdown,2017-10-01,"",2017/10/talk-learning-react-plus-graphql-plus-apollo-with-rails-graphql-api-all-at-once.org.markdown,../SWAAC Posts/talk-learning-react-plus-graphql-plus-apollo-with-rails-graphql-api-all-at-once.md
gerald-wienberg-my-most-challenging-experience-as-a-software-developer,2017 10 gerald wienberg my most challenging experience as a software developer org markdown,2017-10-01,"",2017/10/gerald-wienberg-my-most-challenging-experience-as-a-software-developer.org.markdown,../SWAAC Posts/gerald-wienberg-my-most-challenging-experience-as-a-software-developer.md
til-react-setstate-is-async-and-has-a-callback,2017 10 til react setstate is async and has a callback org markdown,2017-10-01,"",2017/10/til-react-setstate-is-async-and-has-a-callback.org.markdown,../SWAAC Posts/til-react-setstate-is-async-and-has-a-callback.md
til-export-unwrapped-graphql-components-to-make-unit-testing-possible,2017 10 til export unwrapped graphql components to make unit testing possible org markdown,2017-10-01,"",2017/10/til-export-unwrapped-graphql-components-to-make-unit-testing-possible.org.markdown,../SWAAC Posts/til-export-unwrapped-graphql-components-to-make-unit-testing-possible.md
pp-1-define-the-problem-completely,2017 07 pp 1 define the problem completely org markdown,2017-07-01,"",2017/07/pp-1-define-the-problem-completely.org.markdown,../SWAAC Posts/pp-1-define-the-problem-completely.md
pp-2-think-first-program-later,2017 07 pp 2 think first program later org markdown,2017-07-01,"",2017/07/pp-2-think-first-program-later.org.markdown,../SWAAC Posts/pp-2-think-first-program-later.md
playing-games-with-the-checked-pseudo-selector,2017 07 playing games with the checked pseudo selector org markdown,2017-07-01,"",2017/07/playing-games-with-the-checked-pseudo-selector.org.markdown,../SWAAC Posts/playing-games-with-the-checked-pseudo-selector.md
til-apolloclient-authentication-graphql,2017 07 til apolloclient authentication graphql org markdown,2017-07-01,"",2017/07/til-apolloclient-authentication-graphql.org.markdown,../SWAAC Posts/til-apolloclient-authentication-graphql.md
how-do-i-get-to-the-command-line-on-a-mac,2017 07 how do i get to the command line on a mac org markdown,2017-07-01,"",2017/07/how-do-i-get-to-the-command-line-on-a-mac.org.markdown,../SWAAC Posts/how-do-i-get-to-the-command-line-on-a-mac.md
TIL-GraphQL,2017 07 TIL GraphQL org markdown,2017-07-01,"",2017/07/TIL-GraphQL.org.markdown,../SWAAC Posts/TIL-GraphQL.md
setting-up-your-mac-for-working-on-the-command-line,2017 07 setting up your mac for working on the command line org markdown,2017-07-01,"",2017/07/setting-up-your-mac-for-working-on-the-command-line.org.markdown,../SWAAC Posts/setting-up-your-mac-for-working-on-the-command-line.md
pp-introduction,2017 07 pp introduction org markdown,2017-07-01,"",2017/07/pp-introduction.org.markdown,../SWAAC Posts/pp-introduction.md
beginners-section,2017 07 beginners section org markdown,2017-07-01,"",2017/07/beginners-section.org.markdown,../SWAAC Posts/beginners-section.md
fix-make-mac-key-repeat-work,2017 09 fix make mac key repeat work org markdown,2017-09-01,"",2017/09/fix-make-mac-key-repeat-work.org.markdown,../SWAAC Posts/fix-make-mac-key-repeat-work.md
using-current-user-viewer-as-root-of-graphql-queries,2017 09 using current user viewer as root of graphql queries org markdown,2017-09-01,"",2017/09/using-current-user-viewer-as-root-of-graphql-queries.org.markdown,../SWAAC Posts/using-current-user-viewer-as-root-of-graphql-queries.md
apollo-graphql-container-with-queries,2017 09 apollo graphql container with queries org markdown,2017-09-01,"",2017/09/apollo-graphql-container-with-queries.org.markdown,../SWAAC Posts/apollo-graphql-container-with-queries.md
jekyll-making-posts-sticky-redux,2017 09 jekyll making posts sticky redux org markdown,2017-09-01,"",2017/09/jekyll-making-posts-sticky-redux.org.markdown,../SWAAC Posts/jekyll-making-posts-sticky-redux.md
apollo-graphql-container-for-mutations,2017 09 apollo graphql container for mutations org markdown,2017-09-01,"",2017/09/apollo-graphql-container-for-mutations.org.markdown,../SWAAC Posts/apollo-graphql-container-for-mutations.md
hack-of-the-day-comments-in-package-dot-json,2017 08 hack of the day comments in package dot json org markdown,2017-08-01,"",2017/08/hack-of-the-day-comments-in-package-dot-json.org.markdown,../SWAAC Posts/hack-of-the-day-comments-in-package-dot-json.md
pp-3-use-the-top-down-approach,2017 08 pp 3 use the top down approach org markdown,2017-08-01,"",2017/08/pp-3-use-the-top-down-approach.org.markdown,../SWAAC Posts/pp-3-use-the-top-down-approach.md
graphql-mutating-an-objects-state,2017 08 graphql mutating an objects state org markdown,2017-08-01,"",2017/08/graphql-mutating-an-objects-state.org.markdown,../SWAAC Posts/graphql-mutating-an-objects-state.md
TIL-enzyme-shallow-render-with-memoryrouter-doesnt-work,2017 08 TIL enzyme shallow render with memoryrouter doesnt work org markdown,2017-08-01,"",2017/08/TIL-enzyme-shallow-render-with-memoryrouter-doesnt-work.org.markdown,../SWAAC Posts/TIL-enzyme-shallow-render-with-memoryrouter-doesnt-work.md
module-extends-self,2017 01 module extends self org markdown,2017-01-01,"",2017/01/module-extends-self.org.markdown,../SWAAC Posts/module-extends-self.md
til-call-done-to-fire-async-mocha-tests,2017 01 til call done to fire async mocha tests org markdown,2017-01-01,"",2017/01/til-call-done-to-fire-async-mocha-tests.org.markdown,../SWAAC Posts/til-call-done-to-fire-async-mocha-tests.md
my-first-proxy-slash-adapter-for-an-express-dot-js-app,2017 01 my first proxy slash adapter for an express dot js app org markdown,2017-01-01,"",2017/01/my-first-proxy-slash-adapter-for-an-express-dot-js-app.org.markdown,../SWAAC Posts/my-first-proxy-slash-adapter-for-an-express-dot-js-app.md
til-providing-defaults-for-envvars,2017 01 til providing defaults for envvars org markdown,2017-01-01,"",2017/01/til-providing-defaults-for-envvars.org.markdown,../SWAAC Posts/til-providing-defaults-for-envvars.md
Stop-Compiling-Rubies,2017 06 Stop Compiling Rubies org markdown,2017-06-01,"",2017/06/Stop-Compiling-Rubies.org.markdown,../SWAAC Posts/Stop-Compiling-Rubies.md
til-emacs-toggle-debug-on-exit,2017 12 til emacs toggle debug on exit org markdown,2017-12-01,"",2017/12/til-emacs-toggle-debug-on-exit.org.markdown,../SWAAC Posts/til-emacs-toggle-debug-on-exit.md
side-by-side-layout-with-css-grid,2017 12 side by side layout with css grid org markdown,2017-12-01,"",2017/12/side-by-side-layout-with-css-grid.org.markdown,../SWAAC Posts/side-by-side-layout-with-css-grid.md
2019-03-07-til-fixing-a-capybara-problem-scrolling-submit-into-view-on-a-modal,2019 03 2019 03 07 til fixing a capybara problem scrolling submit into view on a modal org markdown,2019-03-01,"",2019/03/2019-03-07-til-fixing-a-capybara-problem-scrolling-submit-into-view-on-a-modal.org.markdown,../SWAAC Posts/2019-03-07-til-fixing-a-capybara-problem-scrolling-submit-into-view-on-a-modal.md
2019-04-05-common-error-not-clearing-selected-value,2019 04 2019 04 05 common error not clearing selected value org markdown,2019-04-01,"",2019/04/2019-04-05-common-error-not-clearing-selected-value.org.markdown,../SWAAC Posts/2019-04-05-common-error-not-clearing-selected-value.md
2019-04-14-use-key-instead-of-compoenent-did-update,2019 04 2019 04 14 use key instead of compoenent did update org markdown,2019-04-01,"",2019/04/2019-04-14-use-key-instead-of-compoenent-did-update.org.markdown,../SWAAC Posts/2019-04-14-use-key-instead-of-compoenent-did-update.md
2019-04-05-link-how-to-access-production-data-in-rails-migrations,2019 04 2019 04 05 link how to access production data in rails migrations org markdown,2019-04-01,"",2019/04/2019-04-05-link-how-to-access-production-data-in-rails-migrations.org.markdown,../SWAAC Posts/2019-04-05-link-how-to-access-production-data-in-rails-migrations.md
2019-04-27-flash-toastr-using-react-hooks,2019 04 2019 04 27 flash toastr using react hooks org markdown,2019-04-01,"",2019/04/2019-04-27-flash-toastr-using-react-hooks.org.markdown,../SWAAC Posts/2019-04-27-flash-toastr-using-react-hooks.md
2019-04-05-til-mounting-standalone-react-client-as-a-rails-react_component_works,2019 04 2019 04 05 til mounting standalone react client as a rails react component works org markdown,2019-04-01,"",2019/04/2019-04-05-til-mounting-standalone-react-client-as-a-rails-react_component_works.org.markdown,../SWAAC Posts/2019-04-05-til-mounting-standalone-react-client-as-a-rails-react_component_works.md
2019-05-02-til-jquery-attr-vs-prop,2019 05 2019 05 02 til jquery attr vs prop org markdown,2019-05-01,"",2019/05/2019-05-02-til-jquery-attr-vs-prop.org.markdown,../SWAAC Posts/2019-05-02-til-jquery-attr-vs-prop.md
2019-05-27-creating-verse-paragraphs-in-kramdown,2019 05 2019 05 27 creating verse paragraphs in kramdown org markdown,2019-05-01,"",2019/05/2019-05-27-creating-verse-paragraphs-in-kramdown.org.markdown,../SWAAC Posts/2019-05-27-creating-verse-paragraphs-in-kramdown.md
2019-05-31-prefer-pluck-to-map,2019 05 2019 05 31 prefer pluck to map org markdown,2019-05-01,"",2019/05/2019-05-31-prefer-pluck-to-map.org.markdown,../SWAAC Posts/2019-05-31-prefer-pluck-to-map.md
2019-07-17-til-firefox-disables-meta-refresh-by-default,2019 07 2019 07 17 til firefox disables meta refresh by default org markdown,2019-07-01,"",2019/07/2019-07-17-til-firefox-disables-meta-refresh-by-default.org.markdown,../SWAAC Posts/2019-07-17-til-firefox-disables-meta-refresh-by-default.md
2019-08-01-programmer-s-primary-language,2019 08 2019 08 01 programmer s primary language org markdown,2019-08-01,"",2019/08/2019-08-01-programmer-s-primary-language.org.markdown,../SWAAC Posts/2019-08-01-programmer-s-primary-language.md
2019-08-17-generating-consisten-faker-values-in-javascript,2019 08 2019 08 17 generating consisten faker values in javascript org markdown,2019-08-01,"",2019/08/2019-08-17-generating-consisten-faker-values-in-javascript.org.markdown,../SWAAC Posts/2019-08-17-generating-consisten-faker-values-in-javascript.md
2019-08-08-til-rails-active-job-argument-types,2019 08 2019 08 08 til rails active job argument types org markdown,2019-08-01,"",2019/08/2019-08-08-til-rails-active-job-argument-types.org.markdown,../SWAAC Posts/2019-08-08-til-rails-active-job-argument-types.md
wtfsm,2019 08 wtfsm jpg,2019-08-01,"",2019/08/wtfsm.jpg,../SWAAC Posts/wtfsm.jpg
2019-08-29-testing-react-checkbox-component,2019 08 2019 08 29 testing react checkbox component org markdown,2019-08-01,"",2019/08/2019-08-29-testing-react-checkbox-component.org.markdown,../SWAAC Posts/2019-08-29-testing-react-checkbox-component.md
2019-01-21-TIL-adding-a-new-html-tag-when-creating-a-react-portal,2019 01 2019 01 21 TIL adding a new html tag when creating a react portal org markdown,2019-01-01,"",2019/01/2019-01-21-TIL-adding-a-new-html-tag-when-creating-a-react-portal.org.markdown,../SWAAC Posts/2019-01-21-TIL-adding-a-new-html-tag-when-creating-a-react-portal.md
2019-01-03-dealing-with-jest-import-syntax-error,2019 01 2019 01 03 dealing with jest import syntax error org markdown,2019-01-01,"",2019/01/2019-01-03-dealing-with-jest-import-syntax-error.org.markdown,../SWAAC Posts/2019-01-03-dealing-with-jest-import-syntax-error.md
2019-06-03-some-flexbox-links,2019 06 2019 06 03 some flexbox links org markdown,2019-06-01,"",2019/06/2019-06-03-some-flexbox-links.org.markdown,../SWAAC Posts/2019-06-03-some-flexbox-links.md
2020-03-21-setting-git-default-editor,2020 03 2020 03 21 setting git default editor md,2020-03-01,"",2020/03/2020-03-21-setting-git-default-editor.md,../SWAAC Posts/2020-03-21-setting-git-default-editor.md
2020-03-23-books-on-software-estimating,2020 03 2020 03 23 books on software estimating md,2020-03-01,"",2020/03/2020-03-23-books-on-software-estimating.md,../SWAAC Posts/2020-03-23-books-on-software-estimating.md
2020-03-23-honouring-colour-scheme-in-css,2020 03 2020 03 23 honouring colour scheme in css md,2020-03-01,"",2020/03/2020-03-23-honouring-colour-scheme-in-css.md,../SWAAC Posts/2020-03-23-honouring-colour-scheme-in-css.md
2020-03-10-using-rails-url-helpers-outside-a-controller,2020 03 2020 03 10 using rails url helpers outside a controller md,2020-03-01,"",2020/03/2020-03-10-using-rails-url-helpers-outside-a-controller.md,../SWAAC Posts/2020-03-10-using-rails-url-helpers-outside-a-controller.md
2020-04-08-using-keybase-for-secure-git-repos,2020 04 2020 04 08 using keybase for secure git repos md,2020-04-01,"",2020/04/2020-04-08-using-keybase-for-secure-git-repos.md,../SWAAC Posts/2020-04-08-using-keybase-for-secure-git-repos.md
2020-04-07-yil-rails-validators-dont-change-type,2020 04 2020 04 07 yil rails validators dont change type md,2020-04-01,"",2020/04/2020-04-07-yil-rails-validators-dont-change-type.md,../SWAAC Posts/2020-04-07-yil-rails-validators-dont-change-type.md
2020-04-01-building-rails-compatible-query-strings-in-javascript,2020 04 2020 04 01 building rails compatible query strings in javascript md,2020-04-01,"",2020/04/2020-04-01-building-rails-compatible-query-strings-in-javascript.md,../SWAAC Posts/2020-04-01-building-rails-compatible-query-strings-in-javascript.md
2020-02-04-ci-skip-in-commit-title-bad,2020 02 2020 02 04 ci skip in commit title bad md,2020-02-01,"",2020/02/2020-02-04-ci-skip-in-commit-title-bad.md,../SWAAC Posts/2020-02-04-ci-skip-in-commit-title-bad.md
2020-02-10-git-follies-prefacing-commit-msg-with-ticket-number,2020 02 2020 02 10 git follies prefacing commit msg with ticket number md,2020-02-01,"",2020/02/2020-02-10-git-follies-prefacing-commit-msg-with-ticket-number.md,../SWAAC Posts/2020-02-10-git-follies-prefacing-commit-msg-with-ticket-number.md
2020-02-05-git-follies-save-points-and-silent-reverts,2020 02 2020 02 05 git follies save points and silent reverts md,2020-02-01,"",2020/02/2020-02-05-git-follies-save-points-and-silent-reverts.md,../SWAAC Posts/2020-02-05-git-follies-save-points-and-silent-reverts.md
.DS_Store,2020 DS Store,2020-01-01,"",2020/.DS_Store,../SWAAC Posts/.DS_Store
gatsby-categories-and-tags,2020 01 gatsby categories and tags md,2020-01-01,"",2020/01/gatsby-categories-and-tags.md,../SWAAC Posts/gatsby-categories-and-tags.md
in-rails-prefer-use_zone-to-zone,2020 01 in rails prefer use zone to zone md,2020-01-01,"",2020/01/in-rails-prefer-use_zone-to-zone.md,../SWAAC Posts/in-rails-prefer-use_zone-to-zone.md
github-tricks-turn-off-white-space-diffs,2018 03 github tricks turn off white space diffs org markdown,2018-03-01,"",2018/03/github-tricks-turn-off-white-space-diffs.org.markdown,../SWAAC Posts/github-tricks-turn-off-white-space-diffs.md
til-react-error-boundary-workarounds,2018 03 til react error boundary workarounds org markdown,2018-03-01,"",2018/03/til-react-error-boundary-workarounds.org.markdown,../SWAAC Posts/til-react-error-boundary-workarounds.md
til-dont-use-vendor-subdirectory-on-heroku,2018 04 til dont use vendor subdirectory on heroku org markdown,2018-04-01,"",2018/04/til-dont-use-vendor-subdirectory-on-heroku.org.markdown,../SWAAC Posts/til-dont-use-vendor-subdirectory-on-heroku.md
removing-entries-from-an-object,2018 05 removing entries from an object org markdown,2018-05-01,"",2018/05/removing-entries-from-an-object.org.markdown,../SWAAC Posts/removing-entries-from-an-object.md
til-setting-input-value-in-react-controlled-vs-uncontrolled,2018 05 til setting input value in react controlled vs uncontrolled org markdown,2018-05-01,"",2018/05/til-setting-input-value-in-react-controlled-vs-uncontrolled.org.markdown,../SWAAC Posts/til-setting-input-value-in-react-controlled-vs-uncontrolled.md
passing-the-time-between-rails-and-react-dot-js,2018 02 passing the time between rails and react dot js org markdown,2018-02-01,"",2018/02/passing-the-time-between-rails-and-react-dot-js.org.markdown,../SWAAC Posts/passing-the-time-between-rails-and-react-dot-js.md
how-to-reset-ios-simulator,2018 02 how to reset ios simulator org markdown,2018-02-01,"",2018/02/how-to-reset-ios-simulator.org.markdown,../SWAAC Posts/how-to-reset-ios-simulator.md
polyfills-for-find-and-findIndex,2018 02 polyfills for find and findIndex org markdown,2018-02-01,"",2018/02/polyfills-for-find-and-findIndex.org.markdown,../SWAAC Posts/polyfills-for-find-and-findIndex.md
git-merge-dry-run,2018 02 git merge dry run org markdown,2018-02-01,"",2018/02/git-merge-dry-run.org.markdown,../SWAAC Posts/git-merge-dry-run.md
2018-11-14-link-css-frameworks-vs-grid,2018 11 2018 11 14 link css frameworks vs grid org markdown,2018-11-01,"",2018/11/2018-11-14-link-css-frameworks-vs-grid.org.markdown,../SWAAC Posts/2018-11-14-link-css-frameworks-vs-grid.md
2018-11-14-video-of-storybook-for-react-talk-from-october-2018,2018 11 2018 11 14 video of storybook for react talk from october 2018 org markdown,2018-11-01,"",2018/11/2018-11-14-video-of-storybook-for-react-talk-from-october-2018.org.markdown,../SWAAC Posts/2018-11-14-video-of-storybook-for-react-talk-from-october-2018.md
2018-11-06-serving-static-files-in-storybook,2018 11 2018 11 06 serving static files in storybook org markdown,2018-11-01,"",2018/11/2018-11-06-serving-static-files-in-storybook.org.markdown,../SWAAC Posts/2018-11-06-serving-static-files-in-storybook.md
2018-11-06-posting-a-file-with-XMLHttpRequest,2018 11 2018 11 06 posting a file with XMLHttpRequest org markdown,2018-11-01,"",2018/11/2018-11-06-posting-a-file-with-XMLHttpRequest.org.markdown,../SWAAC Posts/2018-11-06-posting-a-file-with-XMLHttpRequest.md
2018-11-06-posting-a-file-with-fetch-api,2018 11 2018 11 06 posting a file with fetch api org markdown,2018-11-01,"",2018/11/2018-11-06-posting-a-file-with-fetch-api.org.markdown,../SWAAC Posts/2018-11-06-posting-a-file-with-fetch-api.md
2018-11-29-thoughts-on-writing-good-tests,2018 11 2018 11 29 thoughts on writing good tests org markdown,2018-11-01,"",2018/11/2018-11-29-thoughts-on-writing-good-tests.org.markdown,../SWAAC Posts/2018-11-29-thoughts-on-writing-good-tests.md
2018-11-23-til-setting-window-location-in-jest-tests,2018 11 2018 11 23 til setting window location in jest tests org markdown,2018-11-01,"",2018/11/2018-11-23-til-setting-window-location-in-jest-tests.org.markdown,../SWAAC Posts/2018-11-23-til-setting-window-location-in-jest-tests.md
2018-11-20-til-input-file-has-accepts-attribute,2018 11 2018 11 20 til input file has accepts attribute org markdown,2018-11-01,"",2018/11/2018-11-20-til-input-file-has-accepts-attribute.org.markdown,../SWAAC Posts/2018-11-20-til-input-file-has-accepts-attribute.md
link-30-seconds-of-CSS,2018 10 link 30 seconds of CSS org markdown,2018-10-01,"",2018/10/link-30-seconds-of-CSS.org.markdown,../SWAAC Posts/link-30-seconds-of-CSS.md
link-ala-tags-to-dom,2018 10 link ala tags to dom org markdown,2018-10-01,"",2018/10/link-ala-tags-to-dom.org.markdown,../SWAAC Posts/link-ala-tags-to-dom.md
react-dismiss-after-timeout,2018 10 react dismiss after timeout org markdown,2018-10-01,"",2018/10/react-dismiss-after-timeout.org.markdown,../SWAAC Posts/react-dismiss-after-timeout.md
link-upcase-by-thoughbot,2018 10 link upcase by thoughbot org markdown,2018-10-01,"",2018/10/link-upcase-by-thoughbot.org.markdown,../SWAAC Posts/link-upcase-by-thoughbot.md
link-ARIA-is-spackle-not-rebar,2018 10 link ARIA is spackle not rebar org markdown,2018-10-01,"",2018/10/link-ARIA-is-spackle-not-rebar.org.markdown,../SWAAC Posts/link-ARIA-is-spackle-not-rebar.md
FeM-JS-The-Hard-Parts,2018 07 FeM JS The Hard Parts org markdown,2018-07-01,"",2018/07/FeM-JS-The-Hard-Parts.org.markdown,../SWAAC Posts/FeM-JS-The-Hard-Parts.md
remember-unit-testing-is-not-integration-testing,2018 09 remember unit testing is not integration testing org markdown,2018-09-01,"",2018/09/remember-unit-testing-is-not-integration-testing.org.markdown,../SWAAC Posts/remember-unit-testing-is-not-integration-testing.md
mocking-graphql-mutations-in-jest-tests,2018 09 mocking graphql mutations in jest tests org markdown,2018-09-01,"",2018/09/mocking-graphql-mutations-in-jest-tests.org.markdown,../SWAAC Posts/mocking-graphql-mutations-in-jest-tests.md
til-webstorm-automatic-imports-issues,2018 08 til webstorm automatic imports issues org markdown,2018-08-01,"",2018/08/til-webstorm-automatic-imports-issues.org.markdown,../SWAAC Posts/til-webstorm-automatic-imports-issues.md
til-some-jest-testing-tricks,2018 01 til some jest testing tricks org markdown,2018-01-01,"",2018/01/til-some-jest-testing-tricks.org.markdown,../SWAAC Posts/til-some-jest-testing-tricks.md
til-remove-all-docker-containers-and-images,2018 06 til remove all docker containers and images org markdown,2018-06-01,"",2018/06/til-remove-all-docker-containers-and-images.org.markdown,../SWAAC Posts/til-remove-all-docker-containers-and-images.md
2018-12-01-polyfill-for-custom-event,2018 12 2018 12 01 polyfill for custom event org markdown,2018-12-01,"",2018/12/2018-12-01-polyfill-for-custom-event.org.markdown,../SWAAC Posts/2018-12-01-polyfill-for-custom-event.md
kawaii-toast,2018 12 kawaii toast png,2018-12-01,"",2018/12/kawaii-toast.png,../SWAAC Posts/kawaii-toast.png
2018-12-12-tenets-of-toast-and-tech,2018 12 2018 12 12 tenets of toast and tech org markdown,2018-12-01,"",2018/12/2018-12-12-tenets-of-toast-and-tech.org.markdown,../SWAAC Posts/2018-12-12-tenets-of-toast-and-tech.md
2018-12-20-adding-methods-to-base-graphql-classes,2018 12 2018 12 20 adding methods to base graphql classes org markdown,2018-12-01,"",2018/12/2018-12-20-adding-methods-to-base-graphql-classes.org.markdown,../SWAAC Posts/2018-12-20-adding-methods-to-base-graphql-classes.md
so-passes-a-real-hero-of-the-computing-age,2011 10 so passes a real hero of the computing age org markdown,2011-10-01,"",2011/10/so-passes-a-real-hero-of-the-computing-age.org.markdown,../SWAAC Posts/so-passes-a-real-hero-of-the-computing-age.md
another-personal-hero-falls,2011 10 another personal hero falls org markdown,2011-10-01,"",2011/10/another-personal-hero-falls.org.markdown,../SWAAC Posts/another-personal-hero-falls.md
colophon,2011 01 colophon org markdown,2011-01-01,"",2011/01/colophon.org.markdown,../SWAAC Posts/colophon.md
